,filename,compressor,cBW,dBW,CR,normalize_time,diff_time,comp_time,encoding_time,de_comp_time,total_time,thread,uncompressed_size_bytes,compressed_size_bytes,decompressed_size_bytes,compression_level,split
23,imgs/*.png,lz4,2418.6180962857916,935.6103976717011,4.644617035218151,0.05888966510170385,1.4179631283408718e-06,0.7260548190066689,0.7849479349035966,2.029145127848575,2.814095296357807,1,1898489280,408750445,1898489280,3,Train
24,imgs/*.png,lz4,2460.6247373005617,986.2092763793789,5.122393200797174,0.05993486705579256,1.430511474609375e-06,0.7116092882658306,0.7715476688585783,1.9250369322927374,2.6965865586933337,1,1898489280,370625449,1898489280,4,Train
25,imgs/*.png,lz4,2477.7038714321757,1127.5741849990811,5.122640884071192,0.05744152320058722,1.4054147820723683e-06,0.7087843292637875,0.7662292907112523,1.6836934591594495,2.449924845444529,1,1898489280,370607529,1898489280,5,Train
26,imgs/*.png,lz4,2476.481572945592,1171.3516591749924,5.125690192863438,0.0589424308977629,1.606188322368421e-06,0.7076614154012579,0.7666074727710924,1.6207679949308698,2.387377513082404,1,1898489280,370387052,1898489280,6,Train
27,imgs/*.png,lz4,2455.195164948475,1274.5899167348077,5.125874905185291,0.06021992783797415,1.5434465910259046e-06,0.7130303759323923,0.7732539176940918,1.489490270614624,2.2627462838825427,1,1898489280,370373705,1898489280,7,Train
28,imgs/*.png,lz4,2499.1466543240795,1365.0178250193294,5.125977279769195,0.05516905533640008,1.4179631283408718e-06,0.7044825804860968,0.7596550113276431,1.390816475215711,2.1504735695688346,1,1898489280,370366308,1898489280,8,Train
29,imgs/*.png,lz4,2470.3370593064865,1367.3100139366447,5.126104115329284,0.05637611840900622,1.4430598208778782e-06,0.712134599685669,0.7685142692766691,1.3884848795439069,2.1570011942010177,1,1898489280,370357144,1898489280,9,Train
30,imgs/*.png,lz4hc,3888.458696826233,1525.9252345178265,0.9999998398727059,0.054849248183401006,1.4556081671463817e-06,0.4333840420371608,0.4882369668860185,1.2441561598526805,1.7323956866013377,1,1898489280,1898489584,1898489280,0,Train
31,imgs/*.png,lz4hc,731.180357811087,1532.2585555931166,6.182745829560512,0.054032438679745325,1.292479665655839e-06,2.5424361605393258,2.5964719370791784,1.2390136593266536,3.8354877923664294,1,1898489280,307062482,1898489280,1,Train
32,imgs/*.png,lz4hc,717.2943572544726,1516.3834098146287,6.182745829560512,0.05372442697223864,1.430511474609375e-06,2.593008794282612,2.6467366720500745,1.251984997799522,3.8987237654234232,1,1898489280,307062482,1898489280,2,Train
33,imgs/*.png,lz4hc,568.7598111075469,1596.763606528092,6.814394602409057,0.05601989595513595,1.4932532059518915e-06,3.2819220768777946,3.3379455491116174,1.1889607655374628,4.5269084980613306,1,1898489280,278599845,1898489280,3,Train
34,imgs/*.png,lz4hc,428.9888512369177,1619.9748513813252,7.433616567796724,0.05261485200179251,1.5434465910259046e-06,4.372879392222354,4.425497945986296,1.1719251557400352,5.597425172203465,1,1898489280,255392414,1898489280,4,Train
35,imgs/*.png,lz4hc,304.6492159920388,1646.6489365714256,8.01821603682756,0.05549248896147076,1.4430598208778782e-06,6.176226390035529,6.231722191760414,1.1529411265724583,7.3846654139067,1,1898489280,236772029,1898489280,5,Train
36,imgs/*.png,lz4hc,204.82408614584847,1856.3957400263969,8.606101782830347,0.05552707220378675,1.5434465910259046e-06,9.213346443678203,9.268877092160677,1.0226748742555316,10.29155411218342,1,1898489280,220598051,1898489280,6,Train
37,imgs/*.png,lz4hc,127.90986485156387,1825.6725697746144,9.249853588631904,0.05363897273415014,1.430511474609375e-06,14.788756809736553,14.842399233265928,1.0398848684210527,15.882286184712461,1,1898489280,205245333,1898489280,7,Train
38,imgs/*.png,lz4hc,76.5512731910839,1823.6136117976473,9.903912052221836,0.053095378373798574,1.518349898488898e-06,24.74713231387891,24.800231281079743,1.0410589544396651,25.84129231854489,1,1898489280,191690846,1898489280,8,Train
39,imgs/*.png,lz4hc,38.14213489048906,1687.7852636782563,10.687574536542408,0.05467603081151059,1.5058015522203948e-06,49.71939005349812,49.77406968568501,1.12484053561562,50.898912279229414,1,1898489280,177635185,1898489280,9,Train
40,imgs/*.png,zlib,3512.667091720808,1554.9220351859376,0.9999998398727059,0.05647522524783486,1.380318089535362e-06,0.4839905688637181,0.5404694582286634,1.2209546440526058,1.7614261351133649,1,1898489280,1898489584,1898489280,0,Train
41,imgs/*.png,zlib,2885.851386631615,1481.517954539476,6.428926740105347,0.055893810171830025,1.5058015522203948e-06,0.6019637333719354,0.6578610696290669,1.281448715611508,1.939311843169363,1,1898489280,295304233,1898489280,1,Train
42,imgs/*.png,zlib,2221.9977485429954,1538.4413200262181,11.345100181923607,0.059054738596866004,1.4556081671463817e-06,0.7953482552578575,0.8544064822949862,1.2340342496570789,2.0884427647841606,1,1898489280,167340019,1898489280,2,Train
43,imgs/*.png,zlib,1718.2758894925587,1497.6219523817979,13.24624767652108,0.06983635300084164,1.7818651701274671e-06,1.0350402279904014,1.1048803580434698,1.2676692385422557,2.3725517172562447,1,1898489280,143322798,1898489280,3,Train
44,imgs/*.png,zlib,1416.5655043569482,1485.6564129236556,14.078982924674301,0.07381514499061986,1.5308982447574014e-06,1.2663871112622713,1.3402057823381925,1.2778791000968532,2.6180870658472966,1,1898489280,134845627,1898489280,4,Train
45,imgs/*.png,zlib,1209.8287682764083,1434.7461859616278,14.426130310979278,0.07453868263646175,1.6187366686369244e-06,1.4946793129569607,1.5692214714853387,1.3232230889169794,2.8924466936211837,1,1898489280,131600730,1898489280,5,Train
46,imgs/*.png,zlib,769.8693143972957,1472.8620405318675,15.214681977731976,0.06977950899224532,1.4430598208778782e-06,2.396206165614881,2.46598902501558,1.2889797060113204,3.7549707136656107,1,1898489280,124780083,1898489280,6,Train
47,imgs/*.png,zlib,495.0452747876943,1525.3582386837913,15.499309123681257,0.07143526328237433,1.5810916298314145e-06,3.763542363518163,3.8349811152407995,1.2446186291544061,5.079601865065725,1,1898489280,122488639,1898489280,7,Train
48,imgs/*.png,zlib,121.5159480521304,1503.4500775809236,16.31749028585998,0.06661504193356163,1.3677697432668585e-06,15.55675711129841,15.623375453447041,1.2627551179183156,16.886132591649105,1,1898489280,116346892,1898489280,8,Train
49,imgs/*.png,zlib,55.96332720314775,1497.3813138081157,17.069554452981887,0.07067073018927324,1.4556081671463817e-06,33.85313593713861,33.923810017736336,1.2678729609439248,35.19168514954416,1,1898489280,111220787,1898489280,9,Train
